    PID COMMAND
      1 /sbin/init splash
      2 [kthreadd]
      3 [pool_workqueue_release]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
      6 [kworker/R-slub_]
      7 [kworker/R-netns]
      9 [kworker/0:0H-events_highpri]
     12 [kworker/R-mm_pe]
     13 [rcu_tasks_kthread]
     14 [rcu_tasks_rude_kthread]
     15 [rcu_tasks_trace_kthread]
     16 [ksoftirqd/0]
     17 [rcu_preempt]
     18 [migration/0]
     19 [idle_inject/0]
     20 [cpuhp/0]
     21 [cpuhp/1]
     22 [idle_inject/1]
     23 [migration/1]
     24 [ksoftirqd/1]
     26 [kworker/1:0H-events_highpri]
     27 [cpuhp/2]
     28 [idle_inject/2]
     29 [migration/2]
     30 [ksoftirqd/2]
     32 [kworker/2:0H-events_highpri]
     33 [cpuhp/3]
     34 [idle_inject/3]
     35 [migration/3]
     36 [ksoftirqd/3]
     38 [kworker/3:0H-events_highpri]
     39 [cpuhp/4]
     40 [idle_inject/4]
     41 [migration/4]
     42 [ksoftirqd/4]
     44 [kworker/4:0H-events_highpri]
     45 [cpuhp/5]
     46 [idle_inject/5]
     47 [migration/5]
     48 [ksoftirqd/5]
     50 [kworker/5:0H-events_highpri]
     51 [cpuhp/6]
     52 [idle_inject/6]
     53 [migration/6]
     54 [ksoftirqd/6]
     56 [kworker/6:0H-events_highpri]
     57 [cpuhp/7]
     58 [idle_inject/7]
     59 [migration/7]
     60 [ksoftirqd/7]
     62 [kworker/7:0H-events_highpri]
     63 [cpuhp/8]
     64 [idle_inject/8]
     65 [migration/8]
     66 [ksoftirqd/8]
     68 [kworker/8:0H-events_highpri]
     69 [cpuhp/9]
     70 [idle_inject/9]
     71 [migration/9]
     72 [ksoftirqd/9]
     75 [cpuhp/10]
     76 [idle_inject/10]
     77 [migration/10]
     78 [ksoftirqd/10]
     80 [kworker/10:0H-events_highpri]
     81 [cpuhp/11]
     82 [idle_inject/11]
     83 [migration/11]
     84 [ksoftirqd/11]
     86 [kworker/11:0H-events_highpri]
     87 [kdevtmpfs]
     88 [kworker/R-inet_]
     89 [kauditd]
     92 [khungtaskd]
     93 [oom_reaper]
     95 [kworker/R-write]
     96 [kcompactd0]
     97 [ksmd]
     98 [khugepaged]
     99 [kworker/R-kinte]
    100 [kworker/R-kbloc]
    101 [kworker/R-blkcg]
    102 [irq/9-acpi]
    104 [kworker/R-tpm_d]
    105 [kworker/R-ata_s]
    106 [kworker/R-md]
    107 [kworker/R-md_bi]
    108 [kworker/R-edac-]
    109 [kworker/R-devfr]
    110 [watchdogd]
    111 [kworker/0:1H-kblockd]
    113 [kswapd0]
    114 [ecryptfs-kthread]
    115 [kworker/R-kthro]
    124 [kworker/R-acpi_]
    126 [hwrng]
    128 [kworker/R-mld]
    129 [kworker/1:1H-kblockd]
    130 [kworker/R-ipv6_]
    137 [kworker/R-kstrp]
    152 [kworker/R-charg]
    178 [kworker/10:1H-kblockd]
    179 [kworker/11:1H-kblockd]
    196 [kworker/2:1H-kblockd]
    197 [kworker/6:1H-kblockd]
    209 [kworker/9:1H-kblockd]
    210 [kworker/3:1H-kblockd]
    211 [kworker/5:1H-kblockd]
    212 [kworker/8:1H-kblockd]
    214 [kworker/4:1H-kblockd]
    215 [kworker/7:1H-kblockd]
    236 [kworker/R-nvme-]
    238 [kworker/R-nvme-]
    241 [kworker/R-nvme-]
    247 [kworker/R-nvme-]
    266 [scsi_eh_0]
    267 [kworker/R-scsi_]
    280 [scsi_eh_1]
    282 [kworker/R-scsi_]
    284 [irq/83-MSFT0001:01]
    293 [scsi_eh_2]
    294 [kworker/R-scsi_]
    295 [scsi_eh_3]
    296 [kworker/R-scsi_]
    297 [scsi_eh_4]
    298 [kworker/R-scsi_]
    410 [jbd2/nvme0n1p2-8]
    411 [kworker/R-ext4-]
    476 /usr/lib/systemd/systemd-journald
    511 /usr/lib/systemd/systemd-udevd
    572 [psimon]
    738 [kworker/R-cfg80]
    741 [irq/149-mei_me]
    755 [irq/150-iwlwifi]
    874 [kworker/R-crypt]
    875 [nv_queue]
    876 [nv_queue]
    883 [nvidia-modeset/kthread_q]
    884 [nvidia-modeset/deferred_close_kthread_q]
    889 [irq/152-nvidia]
    890 [nvidia]
    891 [nv_queue]
   1181 /usr/lib/systemd/systemd-oomd
   1207 /usr/lib/systemd/systemd-resolved
   1212 /usr/lib/systemd/systemd-timesyncd
   1388 [UVM global queue]
   1389 [UVM deferred release queue]
   1390 [UVM Tools Event Queue]
   1442 avahi-daemon: running [SkyNet.local]
   1443 /usr/libexec/bluetooth/bluetoothd
   1444 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1449 /usr/libexec/gnome-remote-desktop-daemon --system
   1454 /usr/bin/lxcfs /var/lib/lxcfs
   1465 /usr/lib/polkit-1/polkitd --no-debug
   1468 /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
   1469 /usr/libexec/power-profiles-daemon
   1479 /usr/lib/snapd/snapd
   1480 /usr/libexec/accounts-daemon
   1481 /usr/sbin/cron -f -P
   1483 /usr/libexec/switcheroo-control
   1500 /usr/lib/systemd/systemd-logind
   1501 /usr/lib/systemd/systemd-machined
   1503 /usr/sbin/thermald --systemd --dbus-enable --adaptive
   1508 /usr/libexec/udisks2/udisksd
   1513 /usr/sbin/virtlockd
   1515 /usr/sbin/virtlogd
   1547 avahi-daemon: chroot helper
   1550 /usr/sbin/NetworkManager --no-daemon
